no.,x,ext1,ext2,,,
322,COXIELLA,BURNETII,,,,
323,COXIELLA,SP,,,,
324,CRONOBACTER,SAKAZAKII,,,,
325,CRYPTOCOCCUS,ALBIDUS,,,,
326,CRYPTOCOCCUS,FELIS,,,,
327,CRYPTOCOCCUS,NEOFORMANS,,,,
328,CRYPTOCOCCUS,NEOFORMANS,VAR,GATTII,,
329,CRYPTOCOCCUS,OTHER,NAMED,,,
330,CRYPTOCOCCUS,SP,,,,
331,CRYPTOSPORIDIUM,HOMINIS,,,,
332,CRYPTOSPORIDIUM,MELEAGRIDIS,,,,
333,CRYPTOSPORIDIUM,PARVUM,,,,
334,CRYPTOSPORIDIUM,SP,,,,
335,CUNNINGAMELLA,BERTHOLLETIAE,,,,
336,CUNNINGAMELLA,OTHER,NAMED,,,
337,CUNNINGAMELLA,SP,,,,
338,CUPRIAVIDUS,PAUCULUS,,,,
339,CYCLOSPORA,SP,,,,
340,DELFTIA,ACIDOVORANS,(COMAMONAS,ACIDOVORANS),,
341,DERMABACTER,HOMINIS,,,,
342,DERMACENTOR,SP,,,,
343,DESULFOVIBRIO,DESULFURICANS,,,,
344,DESULFOVIBRIO,FAIRFIELDENSIS,,,,
345,DESULFOVIBRIO,SP,,,,
346,DF-2,(CDC,GROUP),,,
347,DIALISTER,MICROAEROPHILUS,,,,
348,DIALISTER,PNEUMOSINTES,,,,
349,DICROCOELIUM,DENDRITICUM,,,,
350,DICROCOELIUM,SP,,,,
351,DIENTAMOEBA,FRAGILIS,,,,
352,DIPHTHEROIDES,,,,,
353,DIPHYLLOBOTHRIUM,LATUM,,,,
354,DIPHYLLOBOTHRIUM,SP,,,,
355,CALLIPHORA,SP,,,,
356,CORDYLOBIA,LARVAE,(TUMBU,FLY),,
357,DERMATOBIA,HOMINIS,LARVAE,,,
358,OESTRUS,OVIS,,,,
359,DIPYLIDIUM,CANINUM,,,,
360,DIROFILARIA,SP,,,,
361,DRACUNCULUS,MEDINENSIS,,,,
362,ECHINOCOCCUS,GRANULOSUS,(HYDATID),,,
363,ECHINOCOCCUS,SP,,,,
364,EDWARDSIELLA,OTHER,NAMED,,,
365,EDWARDSIELLA,SP,,,,
366,EDWARDSIELLA,TARDA,,,,
367,EGGERTHELLA,LENTA,(EUBACTERIUM,LENTUM),,
368,EHRLICHIA,EQUI,,,,
369,EIKENELLA,CORRODENS,,,,
370,EIKENELLA,SP,,,,
371,ELIZABETHKINGIA,SP,,,,
372,EMPEDOBACTER,BREVIS,,,,
373,EMPEDOBACTER,SP,,,,
374,ENDOLIMAX,NANA,,,,
375,ENDOLIMAX,SP,,,,
376,ENGYDONTIUM,SP,,,,
377,ENTAMOEBA,COLI,,,,
378,ENTAMOEBA,DISPAR,,,,
379,ENTAMOEBA,HARTMANNI,,,,
380,ENTAMOEBA,HISTOLYTICA,,,,
381,ENTAMOEBA,HISTOLYTICA/DISPAR,CYSTS,SEEN,,
382,ENTAMOEBA,OTHER,NAMED,,,
383,ENTAMOEBA,SP,,,,
384,ENTEROBACTER,AEROGENES,,,,
385,ENTEROBACTER,AMNIGENUS,,,,
386,ENTEROBACTER,CLOACAE,,,,
387,ENTEROBACTER,CLOACAE,COMPLEX,,,
388,ENTEROBACTER,GERGOVIAE,,,,
389,ENTEROBACTER,INTERMEDIUS,(ENTEROBACTER,INTERMEDIUM),,
390,ENTEROBACTER,KOBEI,,,,
391,ENTEROBACTER,OTHER,NAMED,,,
392,ENTEROBACTER,SAKAZAKII,,,,
393,ENTEROBACTER,SP,,,,
394,ENTEROBIUS,VERMICULARIS,,,,
395,ENTEROCOCCUS,AVIUM,,,,
396,ENTEROCOCCUS,CASSELIFLAVUS,,,,
397,ENTEROCOCCUS,DURANS,,,,
398,ENTEROCOCCUS,FAECALIS,(STREPTOCOCCUS,FAECALIS),,
399,ENTEROCOCCUS,FAECIUM,,,,
400,ENTEROCOCCUS,GALLINARUM,,,,
401,ENTEROCOCCUS,HIRAE,,,,
402,ENTEROCOCCUS,RAFFINOSUS,,,,
403,ENTEROCOCCUS,SP,,,,
404,COXSACKIE,A,,,,
405,COXSACKIE,B,,,,
406,ECHOVIRUS,,,,,
407,ENTEROVIRUS,TYPE,70,,,
408,ENTEROVIRUS,TYPE,71,,,
409,ENTEROVIRUS,UNTYPED,,,,
410,POLIOVIRUS,,,,,
411,EPIDERMOPHYTON,FLOCCOSUM,,,,
412,ERWINIA,OTHER,NAMED,,,
413,ERWINIA,SP,,,,
414,ERYSIPELOTHRIX,OTHER,NAMED,,,
415,ERYSIPELOTHRIX,RHUSIOPATHIAE,(INSIDIOSA),,,
416,ERYSIPELOTHRIX,SP,,,,
417,ESCHERICHIA,ALKALESCENS,(DISPAR),,,
418,ESCHERICHIA,COLI,,,,
419,ESCHERICHIA,FERGUSONII,,,,
420,ESCHERICHIA,HERMANNII,,,,
421,ESCHERICHIA,OTHER,NAMED,,,
422,ESCHERICHIA,SP,,,,
423,ESCHERICHIA,VULNERIS,,,,
424,EUBACTERIUM,OTHER,NAMED,,,
425,EUBACTERIUM,SP,,,,
426,EWINGELLA,AMERICANA,,,,
427,EXOPHIALA,DERMATITIDIS,,,,
428,EXOPHIALA,JEANSELMEI,,,,
429,EXOPHIALA,OTHER,NAMED,,,
430,EXOPHIALA,SP,,,,
431,FACKLAMIA,HOMINIS,,,,
432,FACKLAMIA,IGNAVA,,,,
433,FACKLAMIA,LANGUIDA,,,,
434,FASCIOLA,HEPATICA,,,,
435,FASCIOLA,SP,,,,
436,ONCHOCERCA,VOLVULUS,,,,
437,FILARIA,OTHER,NAMED,,,
438,FILARIA,SP,,,,
439,LOA,LOA,,,,
440,MANSONELLA,PERSTANS,(DIPETALONEMA,PERSTANS),,
441,WUCHERERIA,BANCROFTI,,,,
442,DENGUE,VIRUS,,,,
443,FLAVIVIRUS,UNSPECIFIED,,,,
444,JAPANESE,ENCEPHALITIS,VIRUS,,,
445,ST,LOUIS,ENCEPHALITIS,VIRUS,,
446,YELLOW,FEVER,,,,
447,FLAVOBACTERIUM,OTHER,NAMED,,,
448,FLAVOBACTERIUM,SP,,,,
449,FLAVONIFRACTOR,PLAUTII,,,,
450,TUNGA,PENETRANS,,,,
451,FRANCISELLA,OTHER,NAMED,,,
452,FRANCISELLA,SP,,,,
453,FRANCISELLA,TULARENSIS,,,,
